num_ap,nom_partenaire,sim_head,transaction_amount,commission,a_reverser,compte_bancaire,onglet_facturation_id,date_transaction
106716,SAVEURS D'ASIE,778751509,420700,4207,416493,SN012 01201 020136018187 15,13,20211219
111019,BOULANGERIE DE MEDINE,782972630,44500,1112.5,43387.5,SN012 01217 021736017645 09,13,20211219
111487,RESTAURANT AL ANDALOUS,782972638,16000,400,15600,CASH OUT KIOSQUE,13,20211219
110049,CAFE LAYAL,782972642,7900,79,7821,CASH OUT KIOSQUE,13,20211219
108827,PATISSERIE LES AMBASSADES,782972651,54100,541,53559,SN01201309002738707018 31,13,20211219
118782,MARKET DISTRIBUTION SARL (ex LA GAZELLE),782972661,170950,1709.5,169240.5,CASH OUT KIOSQUE,13,20211219
122508,PAYDUNYA SARL (PAIEMENT INTERNET),784898365,9392429,93924.29,9298504.71,SN094 01001 121040176401 78,16,20211219
125639,SOXLLA.COM SUARL ,786442216,90055,900.55,89154.45,SN094 01001 121044942501 63,16,20211219
134051,SEN EAU-EAU DU SENEGAL,784898388,24856872,0,24856872,SN0940100110118333000188,5,20211219
984,SENELEC,784898389,10783300,0,10783300,SN0940100112100001460132,5,20211219
1034,OBELIX SONATEL,784898390,18901907,0,18901907,SN012 01201 20136014676 72,5,20211219
111324,OBELIX TERANGA,784898391,321100,0,321100,SN012 01201 20136014676 72,5,20211219
